1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
1,4-dichlorobenzene degradation	1.14.12.26 1.3.1.32 1.3.1.32 3.1.1.45 5.5.1.11 1.13.11.M6 1.3.1.119
<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	1.5.1.5 3.5.4.9 2.1.2.1 1.5.1.3 2.1.1.45 2.1.1.13 1.5.1.20 1.4.1.M2 6.3.3.2
anthranilate degradation III (anaerobic)	6.2.1.32
orthanilate degradation	4.1.1.77 5.3.2.6 1.13.11.- 1.14.12.14
2-oxobutanoate degradation II	1.2.7.7 3.1.2.18
phenylethylamine degradation I	1.2.1.39 1.4.3.21
4-hydroxyphenylacetate degradation	1.2.1.79 4.2.1.163 4.1.2.52 4.1.1.68 5.3.3.10 1.2.1.60 1.13.11.15 1.14.14.9
superpathway of 4-aminobutanoate degradation	1.2.1.24 1.2.1.79 2.6.1.19
4-hydroxymandelate degradation	5.1.2.2 1.14.13.2 1.2.1.96 1.2.1.64 4.1.1.7 1.1.5.-
4-toluenecarboxylate degradation	1.14.99.- 1.2.1.- 1.1.1.M5
1,8-cineole degradation	1.1.1.241 1.14.13.51 1.14.14.56
superpathway of acetate utilization and formation	6.2.1.1 2.3.1.8 2.7.2.15 2.7.2.1
acetoacetate degradation (to acetyl CoA)	2.3.1.16 2.3.1.9 2.8.3.9
L-methionine salvage from L-homocysteine	2.1.1.13 2.1.1.5 2.1.1.10
aerobactin biosynthesis	6.3.2.39 2.3.1.102 1.14.13.59 6.3.2.38
L-alanine degradation II (to D-lactate)	1.4.1.2 2.6.1.2 1.1.1.28
L-alanine degradation I	1.4.5.- 5.1.1.1
L-alanine degradation III	2.6.1.2
L-alanine biosynthesis II	2.6.1.2
L-alanine biosynthesis I	5.1.1.1 2.6.1.66 2.6.1.42
two-component alkanesulfonate monooxygenase	1.5.1.38 1.14.14.5
superpathway of allantoin degradation in yeast	3.5.3.4 6.3.4.6 4.3.2.3 3.5.2.5
superpathway of chorismate metabolism	2.5.1.19 1.5.1.3 6.3.2.12 2.5.1.15 4.1.3.38 2.6.1.85 2.1.1.163 2.5.1.74 3.1.2.28 4.1.3.36 6.2.1.26 4.2.1.113 4.2.99.20 2.2.1.9 2.7.7.58 1.3.1.28 3.3.2.1 5.4.4.2 2.6.1.27 2.6.1.5 2.6.1.57 1.3.1.12 2.6.1.1 2.6.1.57 2.6.1.27 4.2.1.51 5.4.99.5 4.2.1.122 4.1.2.8 4.1.1.48 5.3.1.24 2.4.2.18 4.1.3.27 2.1.1.64 1.14.99.60 2.1.1.201 1.14.13.M56 2.1.1.222 1.14.13.240 4.1.1.98 2.5.1.39 4.1.3.40 4.2.3.5 2.7.1.71 1.1.1.25 1.1.1.282 4.2.1.10 2.7.8.7 2.7.8.7 2.7.6.3 4.1.2.25 3.6.1.- 3.6.1.67 3.5.4.16 2.5.1.90 2.5.1.1 2.5.1.10 5.3.3.2 4.2.3.4 2.5.1.54
ammonia assimilation cycle III	1.4.1.13 6.3.1.2
ammonia oxidation I (aerobic)	1.14.99.39 1.7.2.6
homolactic fermentation	5.3.1.9 1.1.1.27 2.7.1.40 4.2.1.11 5.4.2.12 5.4.2.11 2.7.2.3 1.2.1.12 5.3.1.1 4.1.2.13 2.7.1.11 2.7.1.1 2.7.1.2
glycolysis III (from glucose)	4.2.1.11 2.7.1.40 5.4.2.11 5.3.1.9 2.7.1.11 5.4.2.12 2.7.2.3 1.2.1.12 5.3.1.1 4.1.2.13 2.7.1.1 2.7.1.2
L-phenylalanine degradation II (anaerobic)	1.2.1.39 2.6.1.1 2.6.1.57 2.6.1.27 4.1.1.43
L-arabinose degradation I	5.3.1.4 5.1.3.4 2.7.1.16
superpathway of arginine and polyamine biosynthesis	4.1.1.50 2.5.1.- 2.5.1.16 4.1.1.18 6.3.4.5 3.5.3.11 4.1.1.19 4.3.2.1 2.1.3.3 6.3.5.5 2.3.1.1 3.5.1.16 2.6.1.11 1.2.1.38 2.7.2.8 4.1.1.17
L-arginine degradation I (arginase pathway)	3.5.3.1 1.2.1.88 2.6.1.13
L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	4.1.1.19 3.5.1.53 3.5.3.12
L-arginine degradation VIII (arginine oxidase pathway)	1.4.3.25 4.1.1.75 3.5.3.7 1.2.1.54
superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	1.2.1.79 4.1.1.19 2.6.1.19 1.2.1.24 1.2.1.19 6.3.1.11 3.5.3.11 1.2.1.99 3.5.1.94 1.4.3.M3
L-arginine degradation V (arginine deiminase pathway)	3.5.3.6 2.1.3.3
L-arginine degradation X (arginine monooxygenase pathway)	3.5.3.7 1.13.12.1 3.5.1.4
L-arginine degradation VII (arginase 3 pathway)	4.3.1.12 3.5.3.1
L-ornithine biosynthesis II	2.6.1.13 2.7.2.11 1.2.1.41 1.4.1.3
L-arginine degradation (Stickland reaction)	2.1.3.3 3.5.3.6 5.1.1.12 1.4.1.12 2.3.1.263 5.4.3.5 2.6.1.13 1.5.1.2 4.3.1.12 2.3.1.8 2.7.2.15 2.7.2.1 1.21.4.1 5.1.1.4
L-arginine degradation VI (arginase 2 pathway)	3.5.3.1 1.5.1.2 2.6.1.13
spermine biosynthesis	4.1.1.50 2.5.1.22
L-arginine biosynthesis II (acetyl cycle)	2.3.1.1 6.3.4.5 4.3.2.1 2.1.3.3 2.3.1.35 2.6.1.11 1.2.1.38 2.7.2.8 6.3.5.5
L-arginine biosynthesis I (via L-ornithine)	6.3.5.5 4.3.2.1 6.3.4.5 2.1.3.3 2.3.1.1 3.5.1.16 2.6.1.11 1.2.1.38 2.7.2.8
chorismate biosynthesis I	2.5.1.19 4.2.3.5 2.7.1.71 1.1.1.25 1.1.1.282 4.2.1.10 4.2.3.4 2.5.1.54
L-asparagine biosynthesis I	6.3.5.4
L-asparagine degradation III (mammalian)	2.6.1.1 3.5.1.38 3.5.1.1 3.5.1.26
L-asparagine degradation I	3.5.1.38 3.5.1.1
L-asparagine biosynthesis II	6.3.1.1
L-aspartate degradation I	2.6.1.1
L-aspartate biosynthesis	2.6.1.1
superpathway of L-aspartate and L-asparagine biosynthesis	4.3.1.1 6.3.1.1 3.5.1.38 3.5.1.1 2.6.1.1
cyanide detoxification I	3.5.5.4 4.2.1.65 4.4.1.9
L-arginine degradation II (AST pathway)	2.3.1.109 3.5.1.96 1.2.1.71 2.6.1.81 3.5.3.23
